Outlet Name,Sales Name,Date,Volume BE,SKU
Toko Buah Sejahtera,Budi Santoso,2026-05-03,45.5,Pisang Cavendish
Toko Buah Sejahtera,Budi Santoso,2026-05-10,52.0,Nanas Madu
Fresh Market Cilandak,Budi Santoso,2026-05-05,85.0,Jeruk Siam
Fresh Market Cilandak,Budi Santoso,2026-05-12,35.5,Apel Fuji
RM Padang Sederhana,Budi Santoso,2026-05-08,28.0,Semangka Merah
Resto Ayam Penyet,Dewi Lestari,2026-05-02,40.0,Mangga Harum Manis
Resto Ayam Penyet,Dewi Lestari,2026-05-07,55.0,Pisang Cavendish
Indomaret Point,Dewi Lestari,2026-05-04,62.5,Nanas Madu
Indomaret Point,Dewi Lestari,2026-05-11,48.0,Jeruk Siam
Warung Kopi Nusantara,Dewi Lestari,2026-05-09,33.5,Apel Fuji
